date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:36	76/76	---MCZ	200	added ('OK')	text/plain	date:Mon,%2025%20Dec%202017%2013:15:36%20GMT	http://corpthemes.com/robots.txt		(from )
17:15:36	50668/50668	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202017%2015:11:38%20GMT	http://corpthemes.com/html/sumi/?storefront=envato-elements	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/index04b9.html	(from )
17:15:37	141622/141622	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2017:33:46%20GMT	http://corpthemes.com/html/sumi/stylesheets/bootstrap.css	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/stylesheets/bootstrap.css	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:37	43211/43211	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2016:03:54%20GMT	http://corpthemes.com/html/sumi/stylesheets/style.css	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/stylesheets/style.css	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:38	4723/4723	---MCZ	200	added ('OK')	text/css	date:Fri,%2028%20Apr%202017%2015:09:40%20GMT	http://corpthemes.com/html/sumi/stylesheets/responsive.css	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/stylesheets/responsive.css	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:38	18419/18419	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Nov%202016%2005:00:26%20GMT	http://corpthemes.com/html/sumi/stylesheets/jquery.datetimepicker.css	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/stylesheets/jquery.datetimepicker.css	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:38	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/my%20new%20web/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:39	0/0	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2014:35:26%20GMT	http://corpthemes.com/html/sumi/stylesheets/colors/color1.css	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/stylesheets/colors/color1.css	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:39	70363/70363	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202017%2016:59:40%20GMT	http://corpthemes.com/html/sumi/stylesheets/animate.css	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/stylesheets/animate.css	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:39	2009/2009	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:52:38%20GMT	http://corpthemes.com/html/sumi/icon/apple-touch-icon-48-precomposed.png	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/icon/apple-touch-icon-48-precomposed.png	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
